date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/01/01,Germany,168551,1251,7369,103
2020/01/01,Germany,169218,667,7395,26
2020/01/01,Ghana,2719,550,18,0
2020/01/01,Ghana,2719,0,18,0
2020/01/01,Ghana,3091,372,18,0
2020/01/01,Gibraltar,144,0,0,0
2020/01/01,Greece,2632,6,146,2
2020/01/01,Greece,2663,21,147,1
2020/01/01,Greece,2678,15,148,1
2020/01/01,Greece,2691,13,150,2
2020/01/01,Greece,2710,19,151,1
2020/01/01,Greenland,11,0,0,0
2020/01/01,Grenada,21,0,0,0
2020/01/01,Grenada,21,0,0,0
2020/01/01,Grenada,21,0,0,0
2020/01/01,Grenada,21,0,0,0
2020/01/01,Grenadines,17,1,0,0
2020/01/01,Grenadines,17,0,0,0
2020/01/01,Grenadines,17,0,0,0
2020/01/01,Grenadines,17,0,0,0
2020/01/01,Guadeloupe,152,0,12,0
2020/01/01,Guadeloupe,153,1,13,0
2020/01/01,Guadeloupe,154,1,13,0
2020/01/01,Guadeloupe,154,0,13,0
2020/01/01,Guam,145,0,5,0
2020/01/01,Guam,145,0,5,0
2020/01/01,Guam,147,2,5,0
2020/01/01,Guam,147,0,5,0
2020/01/01,Guam,147,0,5,0
2020/01/01,Guatemala,703,15,17,-2
2020/01/01,Guatemala,798,35,21,2
2020/01/01,Guatemala,832,34,23,2
2020/01/01,Guatemala,900,68,24,1
2020/01/01,Guernsey,252,0,13,0
2020/01/01,Guernsey,252,0,13,0
2020/01/01,Guernsey,252,0,13,0
2020/01/01,Guernsey,252,0,13,0
2020/01/01,Guernsey,252,0,13,0
2020/01/01,Guinea,1710,60,9,2
2020/01/01,Guinea,1856,45,11,1
2020/01/01,Guinea,1927,71,11,0
2020/01/01,Guinea,2009,82,11,0
2020/01/01,Guinea,2042,33,11,0
2020/01/01,Guinea-Bissau,292,0,2,0
2020/01/01,Guinea-Bissau,508,216,2,0
2020/01/01,Guinea-Bissau,508,0,2,0
2020/01/01,Guyana,82,0,9,0
2020/01/01,Guyana,93,1,10,1
2020/01/01,Guyana,93,0,10,0
2020/01/01,Guyana,93,0,10,0
2020/01/01,Haiti,88,3,9,1
2020/01/01,Haiti,101,1,12,1
2020/01/01,Haiti,129,21,12,0
2020/01/01,Haiti,146,17,12,0
2020/01/01,HolySee,11,0,0,0
2020/01/01,Honduras,1055,45,82,6
2020/01/01,Honduras,1270,92,93,4
2020/01/01,Honduras,1461,191,99,6
2020/01/01,Honduras,1685,224,105,6
2020/01/01,Honduras,1771,86,107,2
2020/01/01,Hungary,3065,30,363,12
2020/01/01,Hungary,3111,46,373,10
2020/01/01,Hungary,3150,39,383,10
2020/01/01,Hungary,3178,28,392,9
2020/01/01,Hungary,3213,35,405,13
2020/01/01,Iceland,1799,0,10,0
2020/01/01,Iceland,1799,0,10,0
2020/01/01,Iceland,1799,0,10,0
2020/01/01,Iceland,1801,0,10,0
